station_name,station_latitude,station_longitude,free_bikes,number_of_bikes,poi_name,poi_categories,poi_address,poi_distance,poi_latitude,poi_longitude,poi_ratings,poi_review_count
Hess at king,43.259125842121065,-79.87721174955368,10,12,La Luna,Middle Eastern,"306 King Street W,Hamilton, ON L8P 1B1,Canada",108.42454951711392,43.25942165323912,-79.87848757635106,4.0,63
Hess at king,43.259125842121065,-79.87721174955368,10,12,Hambrgr,Burgers,"49 King William Street,Hamilton, ON L8R 1A2,Canada",858.6720961059851,43.25721,-79.8669,4.5,202
Hess at king,43.259125842121065,-79.87721174955368,10,12,Earth To Table : Bread Bar,Pizza,"258 Locke Street S,Hamilton, ON L8P 4B9,Canada",1052.1415211374524,43.25284,-79.88702,4.0,293
Hess at king,43.259125842121065,-79.87721174955368,10,12,The Ship,Seafood,"23 Augusta Street,Hamilton, ON L8N 1P6,Canada",970.855527645918,43.25215,-79.87,4.0,208
Hess at king,43.259125842121065,-79.87721174955368,10,12,Berkeley North,Bars,"31 King William Street,Hamilton, ON L8R 1A1,Canada",792.5444575825189,43.2574045478956,-79.8677145254958,4.5,43
Hess at king,43.259125842121065,-79.87721174955368,10,12,The Mule,Mexican,"41 King William Street,Hamilton, ON L8R 1A2,Canada",833.7234169860423,43.25726,-79.86713,4.0,177
Hess at king,43.259125842121065,-79.87721174955368,10,12,The Coop,Sandwiches,"274-274 King Street W,Hamilton, ON L8P 1J6,Canada",18.43131711926058,43.2591337,-79.8774391,4.0,43
Hess at king,43.259125842121065,-79.87721174955368,10,12,Moodys,Pizza,"107 George Street,Hamilton, ON L8P 1E3,Canada",151.94419171172677,43.25821,-79.87853,4.0,13
Hess at king,43.259125842121065,-79.87721174955368,10,12,The French,Bistros,"37 King William Street,Hamilton, ON L8R 1A1,Canada",814.1051540640244,43.25741,-79.86748,4.0,98
Hess at king,43.259125842121065,-79.87721174955368,10,12,Electric Diner,Diners,"96 George Street,Hamilton, ON L8P 3M8,Canada",106.43795439871784,43.25845,-79.878,3.5,17
Hess at king,43.259125842121065,-79.87721174955368,10,12,Pho Nhung,Vietnamese,"85 Queen St N,Hamilton, ON L8R 2V5,Canada",321.9290467182559,43.26239,-79.87797,4.5,17
Hess at king,43.259125842121065,-79.87721174955368,10,12,Smoke's Poutinerie,Fast Food,"112 George Street,Hamilton, ON L8P 1E3,Canada",128.9456689732675,43.25854,-79.87863,3.5,38
Hess at king,43.259125842121065,-79.87721174955368,10,12,Papagayo Restaurant,Mexican,"246 King Street W,Hamilton, ON L8P 1A9,Canada",63.27330748627651,43.25902,-79.87646,4.0,10
Hess at king,43.259125842121065,-79.87721174955368,10,12,The Works,Burgers,"2 King Street W,Unit 230,Hamilton, ON L8P 1A2,Canada",517.5164919251919,43.2574961574363,-79.8712256690338,4.0,37
Hess at king,43.259125842121065,-79.87721174955368,10,12,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",964.3461930123414,43.2627364,-79.8663839,4.0,118
Hess at king,43.259125842121065,-79.87721174955368,10,12,Ark and Anchor,Coffee & Tea,"300 King Street W,Hamilton, ON L8P 1B1,Canada",82.37414511053889,43.2595,-79.87812,4.5,14
Hess at king,43.259125842121065,-79.87721174955368,10,12,Famous Recipe,Caribbean,"158 King Street W,Hamilton, ON L8P 1A6,Canada",283.12798300914505,43.2580694,-79.8740306,5.0,9
Hess at king,43.259125842121065,-79.87721174955368,10,12,August 8,Japanese,"1 Wilson Street,Suite 12,Hamilton, ON L8R,Canada",821.1130322762258,43.25943,-79.86708,4.0,122
Hess at king,43.259125842121065,-79.87721174955368,10,12,Redchurch Cafe + Gallery,Cafes,"68 King Street E,Hamilton, ON L8N 1A6,Canada",896.6725049625762,43.25551,-79.86725,4.5,23
Hess at king,43.259125842121065,-79.87721174955368,10,12,Bastoni's Shawarma & Grill,Middle Eastern,"234 King Street W,Hamilton, ON L8P 1A9,Canada",85.36324610898126,43.25896,-79.87622,4.0,21
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",831.2369951617367,43.2627364,-79.8663839,4.0,118
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Saint James Espresso Bar & Eatery,Cafes,"170 James Street N,Hamilton, ON L8R 2L1,Canada",985.3156829894442,43.26098,-79.86693,4.5,57
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Mulberry Coffeehouse,Cafes,"193 James Street N,Hamilton, ON L8R 2L2,Canada",905.249567588854,43.26183,-79.86699,4.0,74
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Born and Raised,Seafood,"224 James Street N,Hamilton, ON L8R 2L3,Canada",862.4068185095896,43.26235,-79.86626,3.5,23
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,The Burnt Tongue,Burgers,"10 Cannon St E,Hamilton, ON L8L 1Z5,Canada",1031.6968295237025,43.2605786,-79.8669351,4.0,87
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Pho Nhung,Vietnamese,"85 Queen St N,Hamilton, ON L8R 2V5,Canada",965.0146086753722,43.26239,-79.87797,4.5,17
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Green Bar,Juice Bars & Smoothies,"236 James Street N,Hamilton, ON L8R 2L2,Canada",833.4056510119258,43.2627485834705,-79.8662985122842,4.5,17
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Hamilton Harbour Waterfront Trail,Hiking,"Waterfront Trail,Hamilton, ON L8L 1C8,Canada",8.21947976076314,43.2692543424209,-79.8712367936969,3.0,1
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Synonym,Cafes,"328 James Street N,Hamilton, ON L8L 1H2,Canada",710.3501237259535,43.264596686727,-79.8653724789619,4.5,12
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Pho Lac Vien,Vietnamese,"430 York Boulevard,Hamilton, ON L8R 3K8,Canada",891.9493679331216,43.2653164,-79.8808978,4.0,19
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Buona Vita Pizza,Italian,"82 Queen Street  N,Hamilton, ON L8R 2V4,Canada",953.5593143666092,43.262024,-79.8775857,4.5,13
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Pho Hamilton,Vietnamese,"115 Park Street N,Hamilton, ON L8R 2N2,Canada",889.5281662409875,43.261299,-79.8707656,4.5,6
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Smalls Coffee,Coffee & Tea,"8 Cannon Street E,Hamilton, ON L8L 1Z5,Canada",1036.8145562636137,43.2605099,-79.86695,4.5,13
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Mesa,Mexican,"255 James Street N,Hamilton, ON L8R 2L2,Canada",795.332660078304,43.26306,-79.86645,4.0,57
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Harbour Diner,Diners,"486 James Street N,Hamilton, ON L8L 1J1,Canada",649.5871240077972,43.2694,-79.86329,3.5,57
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Pho Dui Bo,Vietnamese,"15 Cannon Street E,Unit 2,Hamilton, ON L8L,Canada",1019.7476694497,43.2607973988137,-79.8665680736303,3.5,28
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Gate of India,Indian,"201 James Street N,Hamilton, ON L8R 2L2,Canada",901.0291172159108,43.2618967,-79.866767,3.0,26
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Dunas Verdes Cafe,Cafes,"253 James St N,Hamilton, ON L8R 2L2,Canada",798.0543494073052,43.26303,-79.86658,3.5,7
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,The Brain,Bars,"199 James St N,Hamilton, ON L8R 2L1,Canada",893.277963916912,43.26193,-79.86695,4.0,19
Bayfront Park,43.26928827622911,-79.87132698297499,9,34,Ola Bakery & Pastries,Bakeries,"224-246 James Street N,Hamilton, ON L8R 2L2,Canada",866.0359055538281,43.2623517020394,-79.8664631556007,4.5,12
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Charred Chicken,Barbeque,"244 James Street N,Hamilton, ON L8R 2L2,Canada",583.0459379057457,43.2627364,-79.8663839,4.0,118
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,La Luna,Middle Eastern,"306 King Street W,Hamilton, ON L8P 1B1,Canada",1269.5961780311338,43.25942165323912,-79.87848757635106,4.0,63
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,August 8,Japanese,"1 Wilson Street,Suite 12,Hamilton, ON L8R,Canada",935.608571445336,43.25943,-79.86708,4.0,122
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Synonym,Cafes,"328 James Street N,Hamilton, ON L8L 1H2,Canada",417.3937021756852,43.264596686727,-79.8653724789619,4.5,12
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Saint James Espresso Bar & Eatery,Cafes,"170 James Street N,Hamilton, ON L8R 2L1,Canada",764.659481259404,43.26098,-79.86693,4.5,57
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Born and Raised,Seafood,"224 James Street N,Hamilton, ON L8R 2L3,Canada",618.1429753305657,43.26235,-79.86626,3.5,23
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Mulberry Coffeehouse,Cafes,"193 James Street N,Hamilton, ON L8R 2L2,Canada",679.5655940089003,43.26183,-79.86699,4.0,74
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,The Burnt Tongue,Burgers,"10 Cannon St E,Hamilton, ON L8L 1Z5,Canada",813.4479944796863,43.2605786,-79.8669351,4.0,87
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Pho Nhung,Vietnamese,"85 Queen St N,Hamilton, ON L8R 2V5,Canada",1030.7711263594738,43.26239,-79.87797,4.5,17
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Green Bar,Juice Bars & Smoothies,"236 James Street N,Hamilton, ON L8R 2L2,Canada",583.2430979153173,43.2627485834705,-79.8662985122842,4.5,17
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Harbour Diner,Diners,"486 James Street N,Hamilton, ON L8L 1J1,Canada",411.0870863078402,43.2694,-79.86329,3.5,57
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Mesa,Mexican,"255 James Street N,Hamilton, ON L8R 2L2,Canada",545.0803595860071,43.26306,-79.86645,4.0,57
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Hutch's Harbour Front,Fish & Chips,"325 Bay Street N,Hamilton, ON L8L 1M5,Canada",29.01476989911075,43.26768,-79.86827,3.0,16
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,The Coop,Sandwiches,"274-274 King Street W,Hamilton, ON L8P 1J6,Canada",1238.926704137823,43.2591337,-79.8774391,4.0,43
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Pho Hamilton,Vietnamese,"115 Park Street N,Hamilton, ON L8R 2N2,Canada",764.8468888985551,43.261299,-79.8707656,4.5,6
Bay at Strachan,43.26785864558976,-79.8679232597351,7,24,Buona Vita Pizza,Italian,"82 Queen Street  N,Hamilton, ON L8R 2V4,Canada",1016.3837198066152,43.262024,-79.8775857,4.5,13
