bike_station,name,categories,address,distance,poi_latitude,poi_longitude,ratings,total_ratings,total_tips,total_photos
Hess at king,Coop Wicked Chicken Hamilton,Fried Chicken Joint,"274 King St W (Hess St), Hamilton ON L8P 1J6",19,43.259271,-79.877373,4.0,9.0,2.0,6.0
Hess at king,Coop Hamilton,Fried Chicken Joint,"274 King St W, Hamilton ON L8P 1J6",22,43.259153,-79.877446,3.9,13.0,2.0,7.0
Hess at king,Ark + Anchor,Coffee Shop,"300 King St W, Hamilton ON L8P 1B1",81,43.259332,-79.878032,4.0,11.0,2.0,13.0
Hess at king,La Luna Restaurant Downtown,Lebanese Restaurant,"306 King St W (at Queen St), Hamilton ON L8P 1B1",111,43.259414,-79.878417,4.3,35.0,15.0,8.0
Hess at king,Hess Village,Neighborhood,Hamilton ON,77,43.258514,-79.877755,4.0,18.0,3.0,9.0
Hess at king,Scottish Rite,Arts and Entertainment,"4 Queen St S, Hamilton ON L8P 3R3",176,43.259057,-79.879423,4.0,8.0,2.0,19.0
Hess at king,Smoke's Poutinerie,Fast Food Restaurant,"112 George St (at Queen St. S.), Hamilton ON L8P 1E2",141,43.258502,-79.878634,3.7,58.0,20.0,36.0
Hess at king,Hamilton Farmers' Market,Farmers Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",594,43.259041,-79.870193,4.3,90.0,14.0,80.0
Hess at king,Whitehern Historic House and Garden,Museum,"41 Jackson St W, Hamilton ON L8P 1L3",677,43.254593,-79.87211,4.0,8.0,4.0,46.0
Hess at king,Merit Brewing,Bar,"107 James St N (at York Blvd), Hamilton ON L8R 2K6",756,43.25949,-79.867997,4.1,36.0,7.0,101.0
Hess at king,Starbucks,Coffee Shop,"158 Locke St S (at Bold St), Hamilton ON L8P 4A9",743,43.256119,-79.885602,4.0,56.0,20.0,45.0
Hess at king,The Mule,Taco Restaurant,"41 King William St (Hughson), Hamilton ON L8R 1A2",817,43.257258,-79.867202,4.4,54.0,14.0,83.0
Hess at king,James Street North Art Crawl,Arts and Entertainment,"James St N, Hamilton ON",816,43.260562,-79.867158,4.2,23.0,2.0,19.0
Hess at king,Saint James Espresso Bar & Eatery,Bar,"170 James St N (Cannon), Hamilton ON L8R 2L1",840,43.260862,-79.866884,4.3,27.0,5.0,19.0
Hess at king,Sagarmatha Curry Palace Resturant,Indian Restaurant,"43 King William St, Hamilton ON L8R 1A2",837,43.257213,-79.867056,4.2,22.0,22.0,122.0
Hess at king,August 8,Dim Sum Restaurant,"1 Wilson St (James St.), Hamilton ON L8R 1C4",833,43.259413,-79.866825,4.2,82.0,26.0,27.0
Hess at king,Mulberry Street Coffeehouse,Café,"193 James St N (Mulberry St.), Hamilton ON L8R 2L2",872,43.261863,-79.866961,4.3,143.0,47.0,122.0
Hess at king,Hambrgr,Burger Joint,"49 King William St, Hamilton ON L8R 1A2",857,43.257213,-79.867056,4.2,51.0,13.0,34.0
Hess at king,Burrito Boyz,Burrito Restaurant,"66 King St E, Hamilton ON L8N 1A6",893,43.255691,-79.867215,4.2,64.0,16.0,20.0
Hess at king,Durand Coffee,Café,"142 Charlton Ave W (Caroline St S.), Hamilton ON L8P 2C7",855,43.251543,-79.878939,4.0,8.0,4.0,19.0
Bayfront Park,Bayfront Park,Park,"325 Bay St N (at Strachan St W), Hamilton ON L8L 1M5",102,43.267592,-79.868115,4.4,89.0,13.0,193.0
Bayfront Park,Hutch's Harbour Front,Fish and Chips Shop,"325 Bay St N, Hamilton ON L8L 1M5",320,43.267592,-79.868115,3.5,20.0,5.0,10.0
Bayfront Park,Pier 4 Park,Sports and Recreation,"Leander Dr (Bay St. N.), Hamilton ON L8L 1N2",551,43.272334,-79.86683,4.0,23.0,4.0,60.0
Bayfront Park,Harbour Diner,Diner,"488 James St N (btwn Ferrie St and Picton St), Hamilton ON L8L 1J1",637,43.269474,-79.863286,4.1,72.0,26.0,32.0
Bayfront Park,This Ain't Hollywood,Arts and Entertainment,"345 James St N (at Murray), Hamilton ON L8L 1H3",661,43.264986,-79.865634,4.0,19.0,9.0,31.0
Bayfront Park,Synonym,Coffee Shop,"328 James St N (Barton Street West), Hamilton ON L8L 1H2",700,43.264558,-79.865376,4.0,8.0,1.0,3.0
